Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,1. REST (Node.js),1223,9,1400,1653.5010426426988,46.22277799899166,10066.004233000058,562618.0261651676,12.966866865285388,0.09542256891869869,1400,1700,2000,2200,2800,3700,5200,7200,10000,10000,10000
POST,3. GraphQL (Node.js),1233,91,3400,3671.4888973625298,249.49664500127255,10887.90084700122,524977.3073803731,13.072891941861721,0.9648281968446201,3400,4300,4700,5100,6000,7300,9000,9900,11000,11000,11000
POST,5. SOAP (Node.js),1141,34,2700,2938.646472457513,89.2624389998673,10885.209334999672,909157.4645048203,12.097461237359468,0.3604852603595284,2700,3300,3700,4000,4900,5500,6800,7700,10000,11000,11000
gRPC,7. gRPC (Node.js),1222,0,54,59.17839607201309,43,149,0.0,12.956264357627756,0.0,54,58,62,65,80,92,100,120,140,150,150
,Aggregated,4819,134,1700,2069.8255261826143,43,10887.90084700122,492369.27433077403,51.09348440213433,1.4207360261228472,1700,2500,3100,3600,4700,5600,7100,8600,11000,11000,11000
