Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,1. REST (Node.js),1470,5,340,416.6013368938428,45.39384700001392,2018.876640999224,564861.1462585034,11.771975806518592,0.04004073403577752,340,460,560,630,840,1100,1300,1600,2000,2000,2000
POST,3. GraphQL (Node.js),1495,64,1100,1247.2497645438236,90.32514299906325,4024.521407998691,542545.2240802676,11.97217947669748,0.5125213956579523,1100,1400,1600,1800,2200,2500,2900,3300,4000,4000,4000
POST,5. SOAP (Node.js),1412,36,960,1035.3066777336908,23.1285959998786,3872.1049950017914,913189.4164305949,11.307503291703572,0.28829328505759816,960,1200,1300,1400,1800,2200,2500,2800,3400,3900,3900
gRPC,7. gRPC (Node.js),1480,0,55,58.61081081081081,42,187,0.0,11.852057274590146,0.0,55,59,62,65,76,87,100,110,140,190,190
,Aggregated,5857,105,520,687.3210503989985,23.1285959998786,4024.521407998691,500405.4039610722,46.903715849509794,0.840855414751328,520,850,1100,1200,1600,2000,2500,2800,3600,4000,4000
