Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,2. REST (Python),239,2,950,1682.6424075146454,270.1970229991275,10433.275010000216,562045.9958158996,1.890679181499434,0.015821583108781873,950,1700,2300,2900,3700,5700,6200,10000,10000,10000,10000
POST,4. GraphQL (Python),233,0,1300,3304.4988640686697,286.58967400042457,12456.160878999071,666811.0,1.8432144321730881,0.0,1300,4200,5900,6700,8400,11000,11000,12000,12000,12000,12000
POST,6. SOAP (Python),160,0,45000,41655.82939797499,1195.7204270001967,67806.15451099948,1257102.0,1.2657266487025498,0.0,45000,53000,57000,61000,64000,67000,67000,67000,68000,68000,68000
gRPC,8. gRPC (Python),289,0,140,140.5121107266436,104,284,0.0,2.286218759218981,0.0,140,150,160,160,170,180,190,210,280,280,280
,Aggregated,921,2,670,8553.35556395223,104,67806.15451099948,532934.0673181325,7.285839021594053,0.015821583108781873,670,2500,5400,8000,41000,55000,64000,66000,68000,68000,68000
