Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,2. REST (Python),319,75,20000,26036.00157517239,48.48415400010708,59948.11183499951,433535.87460815045,2.7748646418633762,0.6523976430713267,20000,36000,41000,44000,48000,51000,55000,58000,60000,60000,60000
POST,4. GraphQL (Python),222,0,48000,43436.000567576535,2900.232178999431,83155.91035800026,666811.0,1.931097023491127,0.0,48000,54000,56000,57000,64000,69000,75000,81000,83000,83000,83000
POST,6. SOAP (Python),109,0,59000,54286.15744956878,4840.774116999455,96829.07807300035,1257102.0,0.9481512412636615,0.0,59000,74000,80000,84000,91000,94000,95000,96000,97000,97000,97000
gRPC,8. gRPC (Python),381,0,150,155.98687664041995,109,346,0.0,3.31418002680234,0.0,150,160,170,180,190,200,230,240,350,350,350
,Aggregated,1031,75,15000,23205.527439849637,48.48415400010708,96829.07807300035,410624.73714839964,8.968292933420505,0.6523976430713267,15000,34000,45000,48000,58000,70000,84000,91000,96000,97000,97000
