Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,2. REST (Python),268,28,12000,16121.467821089554,314.735597001345,40668.455806000566,507574.197761194,2.6127595815590374,0.27297488165542183,13000,19000,23000,25000,35000,38000,39000,40000,41000,41000,41000
POST,4. GraphQL (Python),257,1,13000,13670.186530630423,1598.9073470009316,28410.582799000622,664216.4046692607,2.5055194494801216,0.009749102916265065,13000,16000,18000,19000,22000,23000,25000,25000,28000,28000,28000
POST,6. SOAP (Python),109,0,43000,41352.91017932098,1625.5541700011236,68774.20758500011,1257102.0,1.062652217872892,0.0,43000,56000,61000,63000,66000,67000,68000,69000,69000,69000,69000
gRPC,8. gRPC (Python),271,0,160,167.64575645756457,116,825,0.0,2.6420068903078326,0.0,160,170,180,180,200,220,260,440,820,820,820
,Aggregated,905,29,10000,13686.950855215484,116,68774.20758500011,490339.9104972376,8.822938139219882,0.28272398457168685,10000,15000,19000,22000,35000,51000,64000,66000,69000,69000,69000
